species,longitude,latitude,country,genus,family,source
Scirpophaga excerptalis,112.5625,-7.4375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.5625,-7.4375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,111.8541667,-8.0625,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,113.3958333,-7.770833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,137.2291667,35.14583333,Japan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,141.2708333,-5.3125,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,148.2291667,-8.770833333,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,148.2291667,-8.770833333,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.10416667,31.39583333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,109.6875,-7.6875,Indonesia,Scirpophaga,Crambidae,GBIF
Sesamia grisescens,145.9791667,-6.104166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.5208333,-5.6875,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.8958333,-6.354166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.7708333,-5.229166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.8958333,-5.979166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,148.2291667,-8.770833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,150.0625,-5.520833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,141.2708333,-5.3125,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,148.2291667,-8.770833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,150.0625,-5.520833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Yamatotettix flavovittatus,127.5625,37.10416667,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,126.6875,37.72916667,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,126.6875,37.72916667,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,128.1041667,35.1875,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,105.6875,18.6875,Vietnam,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,141.1875,38.8125,Japan,Yamatotettix,Cicadellidae,GBIF
